PING www.clubedochoro.com.br (104.18.33.151) 56(84) bytes of data.
64 bytes from 104.18.33.151: icmp_seq=1 ttl=53 time=8.14 ms
64 bytes from 104.18.33.151: icmp_seq=2 ttl=53 time=7.51 ms
64 bytes from 104.18.33.151: icmp_seq=3 ttl=53 time=7.82 ms
64 bytes from 104.18.33.151: icmp_seq=4 ttl=53 time=9.48 ms
64 bytes from 104.18.33.151: icmp_seq=5 ttl=53 time=10.3 ms
64 bytes from 104.18.33.151: icmp_seq=6 ttl=53 time=11.7 ms
64 bytes from 104.18.33.151: icmp_seq=7 ttl=53 time=12.3 ms
64 bytes from 104.18.33.151: icmp_seq=8 ttl=53 time=12.4 ms
64 bytes from 104.18.33.151: icmp_seq=9 ttl=53 time=7.56 ms
64 bytes from 104.18.33.151: icmp_seq=10 ttl=53 time=8.68 ms
64 bytes from 104.18.33.151: icmp_seq=11 ttl=53 time=8.40 ms
64 bytes from 104.18.33.151: icmp_seq=12 ttl=53 time=7.56 ms
64 bytes from 104.18.33.151: icmp_seq=13 ttl=53 time=8.28 ms
64 bytes from 104.18.33.151: icmp_seq=14 ttl=53 time=7.60 ms
64 bytes from 104.18.33.151: icmp_seq=15 ttl=53 time=7.83 ms
64 bytes from 104.18.33.151: icmp_seq=16 ttl=53 time=17.0 ms
64 bytes from 104.18.33.151: icmp_seq=17 ttl=53 time=9.29 ms
64 bytes from 104.18.33.151: icmp_seq=18 ttl=53 time=10.6 ms
64 bytes from 104.18.33.151: icmp_seq=19 ttl=53 time=11.6 ms
64 bytes from 104.18.33.151: icmp_seq=20 ttl=53 time=10.1 ms
64 bytes from 104.18.33.151: icmp_seq=21 ttl=53 time=11.2 ms
64 bytes from 104.18.33.151: icmp_seq=22 ttl=53 time=10.0 ms
64 bytes from 104.18.33.151: icmp_seq=23 ttl=53 time=7.50 ms
64 bytes from 104.18.33.151: icmp_seq=24 ttl=53 time=7.40 ms
64 bytes from 104.18.33.151: icmp_seq=25 ttl=53 time=9.83 ms
64 bytes from 104.18.33.151: icmp_seq=26 ttl=53 time=11.0 ms
64 bytes from 104.18.33.151: icmp_seq=27 ttl=53 time=13.0 ms
64 bytes from 104.18.33.151: icmp_seq=28 ttl=53 time=10.9 ms
64 bytes from 104.18.33.151: icmp_seq=29 ttl=53 time=16.1 ms
64 bytes from 104.18.33.151: icmp_seq=30 ttl=53 time=8.65 ms
64 bytes from 104.18.33.151: icmp_seq=31 ttl=53 time=8.57 ms
64 bytes from 104.18.33.151: icmp_seq=32 ttl=53 time=7.79 ms
64 bytes from 104.18.33.151: icmp_seq=33 ttl=53 time=7.67 ms
64 bytes from 104.18.33.151: icmp_seq=34 ttl=53 time=8.07 ms
64 bytes from 104.18.33.151: icmp_seq=35 ttl=53 time=8.21 ms
64 bytes from 104.18.33.151: icmp_seq=36 ttl=53 time=7.41 ms
64 bytes from 104.18.33.151: icmp_seq=37 ttl=53 time=7.98 ms
64 bytes from 104.18.33.151: icmp_seq=38 ttl=53 time=9.19 ms
64 bytes from 104.18.33.151: icmp_seq=39 ttl=53 time=10.2 ms
64 bytes from 104.18.33.151: icmp_seq=40 ttl=53 time=11.1 ms
