PING cs3.gs1.wac.edgecastcdn.net (93.184.220.23) 56(84) bytes of data.
64 bytes from 93.184.220.23: icmp_seq=1 ttl=52 time=14.2 ms
64 bytes from 93.184.220.23: icmp_seq=2 ttl=52 time=7.31 ms
64 bytes from 93.184.220.23: icmp_seq=3 ttl=52 time=7.48 ms
64 bytes from 93.184.220.23: icmp_seq=4 ttl=52 time=8.87 ms
64 bytes from 93.184.220.23: icmp_seq=5 ttl=52 time=9.15 ms
64 bytes from 93.184.220.23: icmp_seq=6 ttl=52 time=7.83 ms
64 bytes from 93.184.220.23: icmp_seq=7 ttl=52 time=7.60 ms
64 bytes from 93.184.220.23: icmp_seq=8 ttl=52 time=9.27 ms
64 bytes from 93.184.220.23: icmp_seq=9 ttl=52 time=10.2 ms
64 bytes from 93.184.220.23: icmp_seq=10 ttl=52 time=7.11 ms
64 bytes from 93.184.220.23: icmp_seq=11 ttl=52 time=9.54 ms
64 bytes from 93.184.220.23: icmp_seq=12 ttl=52 time=8.36 ms
64 bytes from 93.184.220.23: icmp_seq=13 ttl=52 time=14.8 ms
64 bytes from 93.184.220.23: icmp_seq=14 ttl=52 time=9.69 ms
64 bytes from 93.184.220.23: icmp_seq=15 ttl=52 time=7.59 ms
64 bytes from 93.184.220.23: icmp_seq=16 ttl=52 time=8.31 ms
64 bytes from 93.184.220.23: icmp_seq=17 ttl=52 time=8.28 ms
64 bytes from 93.184.220.23: icmp_seq=18 ttl=52 time=7.12 ms
64 bytes from 93.184.220.23: icmp_seq=19 ttl=52 time=11.6 ms
64 bytes from 93.184.220.23: icmp_seq=20 ttl=52 time=8.70 ms
64 bytes from 93.184.220.23: icmp_seq=21 ttl=52 time=8.35 ms
64 bytes from 93.184.220.23: icmp_seq=22 ttl=52 time=8.81 ms
64 bytes from 93.184.220.23: icmp_seq=23 ttl=52 time=14.7 ms
64 bytes from 93.184.220.23: icmp_seq=24 ttl=52 time=13.1 ms
64 bytes from 93.184.220.23: icmp_seq=25 ttl=52 time=8.03 ms
64 bytes from 93.184.220.23: icmp_seq=26 ttl=52 time=9.30 ms
64 bytes from 93.184.220.23: icmp_seq=27 ttl=52 time=8.63 ms
64 bytes from 93.184.220.23: icmp_seq=28 ttl=52 time=7.29 ms
64 bytes from 93.184.220.23: icmp_seq=29 ttl=52 time=7.79 ms
64 bytes from 93.184.220.23: icmp_seq=30 ttl=52 time=7.31 ms
64 bytes from 93.184.220.23: icmp_seq=31 ttl=52 time=8.46 ms
64 bytes from 93.184.220.23: icmp_seq=32 ttl=52 time=9.58 ms
64 bytes from 93.184.220.23: icmp_seq=33 ttl=52 time=7.15 ms
64 bytes from 93.184.220.23: icmp_seq=34 ttl=52 time=8.71 ms
64 bytes from 93.184.220.23: icmp_seq=35 ttl=52 time=9.60 ms
64 bytes from 93.184.220.23: icmp_seq=36 ttl=52 time=8.03 ms
64 bytes from 93.184.220.23: icmp_seq=37 ttl=52 time=7.88 ms
64 bytes from 93.184.220.23: icmp_seq=38 ttl=52 time=8.17 ms
64 bytes from 93.184.220.23: icmp_seq=39 ttl=52 time=8.29 ms
64 bytes from 93.184.220.23: icmp_seq=40 ttl=52 time=7.50 ms
64 bytes from 93.184.220.23: icmp_seq=41 ttl=52 time=7.58 ms
64 bytes from 93.184.220.23: icmp_seq=42 ttl=52 time=9.23 ms
64 bytes from 93.184.220.23: icmp_seq=43 ttl=52 time=9.11 ms
64 bytes from 93.184.220.23: icmp_seq=44 ttl=52 time=8.53 ms
64 bytes from 93.184.220.23: icmp_seq=45 ttl=52 time=7.02 ms
64 bytes from 93.184.220.23: icmp_seq=46 ttl=52 time=16.5 ms
64 bytes from 93.184.220.23: icmp_seq=47 ttl=52 time=8.70 ms
64 bytes from 93.184.220.23: icmp_seq=48 ttl=52 time=10.4 ms
64 bytes from 93.184.220.23: icmp_seq=49 ttl=52 time=7.62 ms
64 bytes from 93.184.220.23: icmp_seq=50 ttl=52 time=11.1 ms
64 bytes from 93.184.220.23: icmp_seq=51 ttl=52 time=8.68 ms
64 bytes from 93.184.220.23: icmp_seq=52 ttl=52 time=8.18 ms
64 bytes from 93.184.220.23: icmp_seq=53 ttl=52 time=7.21 ms
64 bytes from 93.184.220.23: icmp_seq=54 ttl=52 time=7.08 ms
64 bytes from 93.184.220.23: icmp_seq=55 ttl=52 time=10.0 ms
64 bytes from 93.184.220.23: icmp_seq=56 ttl=52 time=11.3 ms
64 bytes from 93.184.220.23: icmp_seq=57 ttl=52 time=7.79 ms
64 bytes from 93.184.220.23: icmp_seq=58 ttl=52 time=7.29 ms
64 bytes from 93.184.220.23: icmp_seq=59 ttl=52 time=9.06 ms
64 bytes from 93.184.220.23: icmp_seq=60 ttl=52 time=9.52 ms
64 bytes from 93.184.220.23: icmp_seq=61 ttl=52 time=10.3 ms
64 bytes from 93.184.220.23: icmp_seq=62 ttl=52 time=9.45 ms
64 bytes from 93.184.220.23: icmp_seq=63 ttl=52 time=7.87 ms
64 bytes from 93.184.220.23: icmp_seq=64 ttl=52 time=8.79 ms
64 bytes from 93.184.220.23: icmp_seq=65 ttl=52 time=9.69 ms
64 bytes from 93.184.220.23: icmp_seq=66 ttl=52 time=7.84 ms
64 bytes from 93.184.220.23: icmp_seq=67 ttl=52 time=8.58 ms
64 bytes from 93.184.220.23: icmp_seq=68 ttl=52 time=7.57 ms
64 bytes from 93.184.220.23: icmp_seq=69 ttl=52 time=7.37 ms
64 bytes from 93.184.220.23: icmp_seq=70 ttl=52 time=7.81 ms
64 bytes from 93.184.220.23: icmp_seq=71 ttl=52 time=10.4 ms
64 bytes from 93.184.220.23: icmp_seq=72 ttl=52 time=10.9 ms
64 bytes from 93.184.220.23: icmp_seq=73 ttl=52 time=10.3 ms
64 bytes from 93.184.220.23: icmp_seq=74 ttl=52 time=8.99 ms
64 bytes from 93.184.220.23: icmp_seq=75 ttl=52 time=8.08 ms
64 bytes from 93.184.220.23: icmp_seq=76 ttl=52 time=7.01 ms
64 bytes from 93.184.220.23: icmp_seq=77 ttl=52 time=8.82 ms
64 bytes from 93.184.220.23: icmp_seq=78 ttl=52 time=9.46 ms
64 bytes from 93.184.220.23: icmp_seq=79 ttl=52 time=7.22 ms
64 bytes from 93.184.220.23: icmp_seq=80 ttl=52 time=7.13 ms
64 bytes from 93.184.220.23: icmp_seq=81 ttl=52 time=12.0 ms
64 bytes from 93.184.220.23: icmp_seq=82 ttl=52 time=6.99 ms
64 bytes from 93.184.220.23: icmp_seq=83 ttl=52 time=8.31 ms
64 bytes from 93.184.220.23: icmp_seq=84 ttl=52 time=9.75 ms
64 bytes from 93.184.220.23: icmp_seq=85 ttl=52 time=8.09 ms
64 bytes from 93.184.220.23: icmp_seq=86 ttl=52 time=10.6 ms
64 bytes from 93.184.220.23: icmp_seq=87 ttl=52 time=10.9 ms
64 bytes from 93.184.220.23: icmp_seq=88 ttl=52 time=7.07 ms
64 bytes from 93.184.220.23: icmp_seq=89 ttl=52 time=7.81 ms
